date,headline,realized_volatility
2021-03-31,"Federal Reserve maintains policy, growth expected",2.1989
2021-04-01,Financial stocks falls amid recession fears,16.0801
2021-04-02,"Federal Reserve raises rates, growth expected",9.0526
2021-04-03,"Meta announces dividend increase, shares jump",2.7218
2021-04-04,"Apple faces competition, analysts downgrade",1.1035
2021-04-05,Trading volume drops for Tesla on earnings report,5.6601
2021-04-06,Amazon stock plunges 4% on regulatory approval,0.996
2021-04-07,Healthcare stocks drops amid supply chain issues,3.5362
2021-04-08,"Federal Reserve cuts rates, uncertainty expected",3.843
2021-04-09,Apple stock surges 11% on regulatory approval,0.9839
2021-04-10,Market volatility spikes as recession fears,6.3352
2021-04-11,Amazon stock falls 13% on merger news,2.9591
2021-04-12,Trading volume spikes for Nvidia on regulatory approval,3.6183
2021-04-13,"Employment exceeds expectations, markets fall",3.1597
2021-04-14,"Retail sales exceeds expectations, markets soar",0.8291
2021-04-15,"Federal Reserve signals dovish stance, stability expected",1.1592
2021-04-16,Apple stock surges 10% on merger news,1.1197
2021-04-17,"Amazon reports disappointing quarterly earnings, beating analyst expectations",1.0598
2021-04-18,Trading volume doubles for Microsoft on earnings report,1.249
2021-04-19,"Meta announces stock split, shares tumble",1.0603
2021-04-20,"Apple faces regulatory scrutiny, analysts upgrade",1.2805
2021-04-21,Trading volume drops for Apple on product launch,1.2108
2021-04-22,"Apple faces scandal, analysts revise outlook",7.2211
2021-04-23,Trading volume doubles for Nvidia on earnings report,2.0664
2021-04-24,"Inflation rises, markets tumble",5.283
2021-04-25,Trading volume doubles for Nvidia on product launch,4.7104
2021-04-26,"Apple CEO announces strategy shift, stock price decline",0.7208
2021-04-27,Tech stocks drops amid geopolitical tensions,1.8358
2021-04-28,Market volatility rises as recession fears,0.7586
2021-04-29,Market volatility rises as recession fears,1.0344
2021-04-30,"Tesla reports weak quarterly earnings, meeting analyst expectations",1.8479
2021-05-01,Tech stocks drops amid recession fears,5.9027
2021-05-02,"Apple CEO announces strategy shift, stock price rise",1.5272
2021-05-03,"Federal Reserve maintains policy, uncertainty expected",2.3273
2021-05-04,"Google CEO resigns, stock price jump",0.9553
2021-05-05,"GDP rises, markets fall",2.0229
2021-05-06,"Federal Reserve raises rates, volatility expected",0.7829
2021-05-07,"Google announces dividend increase, shares decline",1.6091
2021-05-08,Trading volume spikes for Tesla on product launch,2.4265
2021-05-09,Market volatility spikes as inflation concerns,2.1329
2021-05-10,Healthcare stocks climbs amid inflation concerns,4.6253
2021-05-11,Market volatility surges as inflation concerns,4.4568
2021-05-12,"Microsoft faces lawsuit, analysts maintain rating",3.4587
2021-05-13,"Federal Reserve cuts rates, stability expected",1.198
2021-05-14,"Nvidia faces scandal, analysts maintain rating",0.3059
2021-05-15,"Microsoft announces stock split, shares rise",2.7582
2021-05-16,"Federal Reserve maintains policy, stability expected",2.3108
2021-05-17,"Microsoft faces regulatory scrutiny, analysts downgrade",0.8961
2021-05-18,"Apple announces dividend increase, shares soar",1.2337
2021-05-19,Consumer stocks rallies amid recession fears,2.1421
2021-05-20,"Google announces restructuring, shares tumble",4.4963
2021-05-21,"Microsoft reports surprising quarterly earnings, beating analyst expectations",1.8901
2021-05-22,"Apple reports record quarterly earnings, exceeding analyst expectations",6.2272
2021-05-23,"Meta announces stock split, shares tumble",1.3552
2021-05-24,"Apple CEO resigns, stock price decline",0.4463
2021-05-25,"Google CEO announces strategy shift, stock price tumble",0.7566
2021-05-26,Market volatility rises as supply chain issues,2.7255
2021-05-27,"Meta faces scandal, analysts revise outlook",0.588
2021-05-28,Market volatility rises as supply chain issues,0.4321
2021-05-29,"Google announces dividend increase, shares soar",0.7771
2021-05-30,"Employment rises, markets tumble",1.5338
2021-05-31,Market volatility rises as inflation concerns,18.1542
2021-06-01,"GDP exceeds expectations, markets tumble",2.2672
2021-06-02,Trading volume spikes for Nvidia on earnings report,0.8334
2021-06-03,"Tesla announces dividend increase, shares jump",10.1795
2021-06-04,"Meta faces competition, analysts downgrade",3.296
2021-06-05,"Nvidia announces dividend increase, shares tumble",6.6733
2021-06-06,Healthcare stocks climbs amid inflation concerns,14.6275
2021-06-07,"Retail sales rises, markets soar",8.1073
2021-06-08,"Google CEO appointed, stock price decline",5.4975
2021-06-09,"Amazon reports strong quarterly earnings, meeting analyst expectations",4.0366
2021-06-10,"Apple faces competition, analysts maintain rating",0.7347
2021-06-11,"Apple announces stock split, shares jump",11.6691
2021-06-12,"GDP rises, markets soar",6.5694
2021-06-13,"Apple CEO announces strategy shift, stock price tumble",3.2083
2021-06-14,"Nvidia CEO appointed, stock price soar",2.5788
2021-06-15,"Nvidia announces restructuring, shares rise",2.4349
2021-06-16,"Apple reports disappointing quarterly earnings, missing analyst expectations",2.5042
2021-06-17,Tech stocks climbs amid supply chain issues,6.3252
2021-06-18,Market volatility rises as supply chain issues,4.7126
2021-06-19,Consumer stocks surges amid recession fears,12.5803
2021-06-20,"Federal Reserve cuts rates, stability expected",1.0739
2021-06-21,"Federal Reserve cuts rates, volatility expected",6.206
2021-06-22,"Microsoft announces buyback program, shares tumble",1.077
2021-06-23,"Federal Reserve cuts rates, stability expected",2.7808
2021-06-24,"Microsoft CEO resigns, stock price rise",1.4339
2021-06-25,"Meta faces competition, analysts downgrade",1.7006
2021-06-26,"Inflation falls, markets fall",3.6904
2021-06-27,"Retail sales rises, markets soar",2.1195
2021-06-28,Market volatility rises as inflation concerns,1.1154
2021-06-29,"Apple reports strong quarterly earnings, missing analyst expectations",16.6216
2021-06-30,Energy stocks surges amid geopolitical tensions,1.35
2021-07-01,"Tesla reports disappointing quarterly earnings, exceeding analyst expectations",0.7695
2021-07-02,Market volatility rises as supply chain issues,3.4479
2021-07-03,"Employment exceeds expectations, markets fall",0.6904
2021-07-04,Market volatility surges as geopolitical tensions,0.9423
2021-07-05,"Amazon announces dividend increase, shares fall",3.0215
2021-07-06,"Employment disappoints, markets decline",1.1328
2021-07-07,Market volatility rises as inflation concerns,3.0577
2021-07-08,Tech stocks climbs amid supply chain issues,3.6758
2021-07-09,"Tesla faces competition, analysts revise outlook",0.7777
2021-07-10,Healthcare stocks rallies amid supply chain issues,1.9518
2021-07-11,"Amazon reports record quarterly earnings, beating analyst expectations",0.9254
2021-07-12,"Google CEO announces strategy shift, stock price tumble",0.7659
2021-07-13,Market volatility increases as recession fears,17.9135
2021-07-14,Tech stocks drops amid supply chain issues,3.2355
2021-07-15,"Microsoft reports strong quarterly earnings, exceeding analyst expectations",1.6869
2021-07-16,"Google reports strong quarterly earnings, exceeding analyst expectations",7.0243
2021-07-17,"Tesla reports surprising quarterly earnings, beating analyst expectations",0.5165
2021-07-18,"Federal Reserve signals dovish stance, volatility expected",3.8134
2021-07-19,"Retail sales falls, markets jump",3.797
2021-07-20,Microsoft stock surges 5% on earnings report,8.9667
2021-07-21,Trading volume doubles for Apple on product launch,2.602
2021-07-22,"Amazon reports surprising quarterly earnings, missing analyst expectations",4.2804
2021-07-23,Apple stock climbs 6% on earnings report,5.5232
2021-07-24,Google stock drops 9% on regulatory approval,1.3823
2021-07-25,"Federal Reserve signals dovish stance, volatility expected",3.4124
2021-07-26,"Federal Reserve raises rates, uncertainty expected",3.0191
2021-07-27,"Apple announces buyback program, shares rise",18.4676
2021-07-28,"GDP rises, markets jump",5.4817
2021-07-29,"Google reports surprising quarterly earnings, beating analyst expectations",2.645
2021-07-30,Market volatility increases as geopolitical tensions,1.4773
2021-07-31,"Meta CEO resigns, stock price rise",3.4689
2021-08-01,Healthcare stocks plunges amid supply chain issues,18.0939
2021-08-02,"Federal Reserve signals dovish stance, volatility expected",1.3604
2021-08-03,Financial stocks plunges amid inflation concerns,50.1114
2021-08-04,Market volatility rises as supply chain issues,5.751
2021-08-05,"Federal Reserve cuts rates, volatility expected",0.1506
2021-08-06,Trading volume spikes for Tesla on regulatory approval,10.5823
2021-08-07,"Amazon faces scandal, analysts downgrade",1.2429
2021-08-08,Tech stocks drops amid supply chain issues,1.8
2021-08-09,Apple stock climbs 2% on earnings report,0.9464
2021-08-10,"Meta announces restructuring, shares soar",2.5602
2021-08-11,"Federal Reserve cuts rates, stability expected",2.0076
2021-08-12,"Google faces scandal, analysts maintain rating",4.5805
2021-08-13,Trading volume drops for Amazon on merger news,1.9318
2021-08-14,"Federal Reserve raises rates, volatility expected",43.1794
2021-08-15,Tech stocks surges amid supply chain issues,10.7665
2021-08-16,"Nvidia reports strong quarterly earnings, beating analyst expectations",5.9484
2021-08-17,"Federal Reserve raises rates, uncertainty expected",2.5373
2021-08-18,Market volatility surges as supply chain issues,1.112
2021-08-19,"Microsoft CEO announces strategy shift, stock price decline",4.6651
2021-08-20,Tech stocks drops amid recession fears,3.6995
2021-08-21,Consumer stocks climbs amid supply chain issues,2.9716
2021-08-22,Apple stock climbs 3% on product launch,5.2067
2021-08-23,"Tesla CEO resigns, stock price decline",1.2808
2021-08-24,Financial stocks climbs amid recession fears,7.2168
2021-08-25,Amazon stock rallies 9% on regulatory approval,3.14
2021-08-26,Healthcare stocks falls amid supply chain issues,1.5174
2021-08-27,Market volatility spikes as inflation concerns,4.5632
2021-08-28,Google stock plunges 2% on product launch,1.5473
2021-08-29,"Amazon announces buyback program, shares jump",10.4753
2021-08-30,"Tesla reports record quarterly earnings, missing analyst expectations",1.747
2021-08-31,Meta stock drops 11% on merger news,5.5764
2021-09-01,"Apple CEO resigns, stock price fall",0.5483
2021-09-02,Market volatility increases as inflation concerns,1.6199
2021-09-03,"Retail sales falls, markets rise",1.148
2021-09-04,Energy stocks surges amid inflation concerns,0.4396
2021-09-05,"Inflation disappoints, markets soar",2.5692
2021-09-06,"Google reports surprising quarterly earnings, missing analyst expectations",4.1389
2021-09-07,Market volatility surges as geopolitical tensions,0.5367
2021-09-08,"Google CEO resigns, stock price rise",1.0199
2021-09-09,"Amazon faces competition, analysts revise outlook",0.6449
2021-09-10,Consumer stocks plunges amid inflation concerns,8.2122
2021-09-11,Trading volume drops for Apple on merger news,1.6707
2021-09-12,"Tesla CEO announces strategy shift, stock price fall",5.2598
2021-09-13,"Microsoft faces competition, analysts upgrade",0.3743
2021-09-14,"Microsoft CEO announces strategy shift, stock price decline",2.301
2021-09-15,"Tesla faces regulatory scrutiny, analysts maintain rating",1.0181
2021-09-16,Trading volume doubles for Tesla on merger news,7.8723
2021-09-17,"Microsoft CEO resigns, stock price jump",13.7272
2021-09-18,"GDP disappoints, markets fall",1.9792
2021-09-19,"Retail sales exceeds expectations, markets rise",0.9875
2021-09-20,Market volatility surges as supply chain issues,6.1356
2021-09-21,Consumer stocks rallies amid recession fears,1.4138
2021-09-22,"Federal Reserve signals dovish stance, growth expected",0.986
2021-09-23,Consumer stocks drops amid supply chain issues,4.7141
2021-09-24,"Employment disappoints, markets decline",0.8843
2021-09-25,Trading volume doubles for Apple on earnings report,3.6838
2021-09-26,"Apple CEO resigns, stock price jump",2.2402
2021-09-27,"Google announces buyback program, shares tumble",2.2997
2021-09-28,"Microsoft announces dividend increase, shares fall",1.3723
2021-09-29,Market volatility spikes as recession fears,3.8852
2021-09-30,"Federal Reserve cuts rates, growth expected",0.4443
2021-10-01,Healthcare stocks falls amid recession fears,0.4435
2021-10-02,Market volatility increases as recession fears,5.4211
2021-10-03,"Google CEO appointed, stock price soar",3.329
2021-10-04,Tesla stock falls 12% on merger news,2.1843
2021-10-05,"Federal Reserve maintains policy, volatility expected",5.2292
2021-10-06,"Google faces lawsuit, analysts maintain rating",4.1793
2021-10-07,"Tesla announces restructuring, shares rise",1.7965
2021-10-08,"Federal Reserve signals dovish stance, volatility expected",0.3278
2021-10-09,Consumer stocks plunges amid geopolitical tensions,11.4867
2021-10-10,Market volatility rises as inflation concerns,33.6013
2021-10-11,"Federal Reserve maintains policy, volatility expected",2.6958
2021-10-12,"Federal Reserve cuts rates, growth expected",21.5032
2021-10-13,"Retail sales disappoints, markets decline",0.6294
2021-10-14,"Federal Reserve signals dovish stance, volatility expected",0.8659
2021-10-15,"Microsoft announces restructuring, shares fall",7.9391
2021-10-16,"Federal Reserve raises rates, growth expected",2.9802
2021-10-17,Market volatility increases as recession fears,3.4924
2021-10-18,Healthcare stocks surges amid geopolitical tensions,1.0716
2021-10-19,"Meta faces competition, analysts downgrade",5.2041
2021-10-20,Market volatility surges as geopolitical tensions,8.916
2021-10-21,Trading volume spikes for Microsoft on product launch,1.3157
2021-10-22,"Google CEO announces strategy shift, stock price jump",22.9159
2021-10-23,Healthcare stocks rallies amid inflation concerns,1.7424
2021-10-24,"Google faces lawsuit, analysts maintain rating",1.5154
2021-10-25,Healthcare stocks rallies amid supply chain issues,4.2505
2021-10-26,"Nvidia faces lawsuit, analysts revise outlook",3.3447
2021-10-27,Trading volume drops for Tesla on merger news,0.909
2021-10-28,Trading volume doubles for Tesla on merger news,0.9043
2021-10-29,"Retail sales rises, markets decline",2.0906
2021-10-30,Market volatility spikes as supply chain issues,3.1179
2021-10-31,"Microsoft CEO appointed, stock price tumble",0.4267
2021-11-01,"GDP falls, markets rise",0.2174
2021-11-02,Market volatility increases as recession fears,3.5666
2021-11-03,"Federal Reserve signals dovish stance, growth expected",3.4011
2021-11-04,Market volatility rises as supply chain issues,2.3058
2021-11-05,Market volatility rises as inflation concerns,5.4557
2021-11-06,Market volatility rises as inflation concerns,0.5651
2021-11-07,Tesla stock drops 10% on earnings report,0.5689
2021-11-08,Market volatility increases as supply chain issues,0.3687
2021-11-09,Consumer stocks plunges amid supply chain issues,1.4056
2021-11-10,Tech stocks falls amid geopolitical tensions,0.5125
2021-11-11,Market volatility rises as recession fears,1.0032
2021-11-12,"Amazon reports disappointing quarterly earnings, meeting analyst expectations",3.7961
2021-11-13,"Nvidia faces competition, analysts revise outlook",0.3587
2021-11-14,"Microsoft faces regulatory scrutiny, analysts upgrade",7.7661
2021-11-15,"Tesla faces competition, analysts upgrade",2.1193
2021-11-16,"Apple faces lawsuit, analysts downgrade",1.258
2021-11-17,"Federal Reserve cuts rates, volatility expected",2.8925
2021-11-18,"Tesla CEO appointed, stock price rise",8.68
2021-11-19,"Federal Reserve raises rates, growth expected",3.4721
2021-11-20,"Retail sales disappoints, markets tumble",1.4552
2021-11-21,Google stock drops 12% on earnings report,2.6804
2021-11-22,"Federal Reserve signals dovish stance, stability expected",2.0349
2021-11-23,Consumer stocks plunges amid geopolitical tensions,1.9871
2021-11-24,"Employment falls, markets fall",1.6684
2021-11-25,Market volatility increases as inflation concerns,0.9271
2021-11-26,Market volatility spikes as recession fears,1.2284
2021-11-27,"Microsoft announces buyback program, shares soar",1.9482
2021-11-28,"GDP rises, markets rise",3.458
2021-11-29,"Apple announces restructuring, shares soar",0.8244
2021-11-30,"Amazon CEO resigns, stock price tumble",3.3328
2021-12-01,Trading volume spikes for Google on regulatory approval,1.1059
2021-12-02,"Amazon CEO appointed, stock price soar",2.0856
2021-12-03,Trading volume drops for Nvidia on regulatory approval,1.8246
2021-12-04,"Apple announces restructuring, shares decline",0.8428
2021-12-05,"GDP rises, markets jump",4.0546
2021-12-06,Market volatility surges as geopolitical tensions,0.7203
2021-12-07,Trading volume doubles for Meta on product launch,0.2476
2021-12-08,"Apple reports record quarterly earnings, beating analyst expectations",0.2044
2021-12-09,"Amazon CEO resigns, stock price fall",1.653
2021-12-10,"Nvidia announces buyback program, shares jump",0.1
2021-12-11,Meta stock rallies 14% on merger news,3.6063
2021-12-12,"Microsoft announces buyback program, shares jump",0.8417
2021-12-13,Google stock plunges 7% on merger news,0.9663
2021-12-14,Tesla stock drops 10% on merger news,0.5766
2021-12-15,"Tesla faces competition, analysts downgrade",1.4264
2021-12-16,Apple stock plunges 1% on regulatory approval,6.5868
2021-12-17,Market volatility rises as recession fears,0.8818
2021-12-18,"Google faces competition, analysts revise outlook",2.4169
2021-12-19,"Nvidia faces competition, analysts upgrade",1.3136
2021-12-20,"Federal Reserve cuts rates, growth expected",3.2981
2021-12-21,"Microsoft CEO resigns, stock price tumble",6.5372
2021-12-22,"Google CEO appointed, stock price jump",1.1425
2021-12-23,Financial stocks climbs amid recession fears,0.8412
2021-12-24,"Meta faces regulatory scrutiny, analysts maintain rating",5.117
2021-12-25,Meta stock plunges 8% on earnings report,8.0528
2021-12-26,"Nvidia reports surprising quarterly earnings, exceeding analyst expectations",1.8224
2021-12-27,"Meta reports weak quarterly earnings, beating analyst expectations",0.9657
2021-12-28,Market volatility rises as supply chain issues,2.7591
2021-12-29,Trading volume spikes for Meta on earnings report,2.7366
2021-12-30,"Federal Reserve raises rates, uncertainty expected",1.6942
2021-12-31,Market volatility spikes as geopolitical tensions,10.945
2022-01-01,"Google reports disappointing quarterly earnings, beating analyst expectations",0.5125
2022-01-02,"Google announces restructuring, shares soar",2.089
2022-01-03,"Retail sales disappoints, markets tumble",3.4929
2022-01-04,"Nvidia CEO appointed, stock price jump",22.6885
2022-01-05,"Microsoft reports disappointing quarterly earnings, beating analyst expectations",0.3941
2022-01-06,"Meta faces competition, analysts downgrade",1.6302
2022-01-07,"Meta CEO appointed, stock price tumble",6.7261
2022-01-08,"Microsoft faces competition, analysts downgrade",2.882
2022-01-09,Trading volume doubles for Amazon on regulatory approval,1.8768
2022-01-10,"Google faces competition, analysts maintain rating",0.4551
2022-01-11,Meta stock falls 11% on regulatory approval,15.9692
2022-01-12,Nvidia stock falls 12% on earnings report,3.0438
2022-01-13,Trading volume doubles for Tesla on earnings report,4.7543
2022-01-14,"Tesla faces competition, analysts upgrade",6.9633
2022-01-15,Nvidia stock drops 5% on merger news,0.8458
2022-01-16,Energy stocks falls amid geopolitical tensions,3.3736
2022-01-17,Market volatility rises as recession fears,2.7133
2022-01-18,Market volatility rises as recession fears,1.8582
2022-01-19,"Amazon faces lawsuit, analysts revise outlook",1.2001
2022-01-20,"Microsoft reports disappointing quarterly earnings, meeting analyst expectations",1.8431
2022-01-21,"Tesla CEO appointed, stock price jump",0.8106
2022-01-22,"Google reports strong quarterly earnings, missing analyst expectations",1.5075
2022-01-23,"Federal Reserve maintains policy, volatility expected",0.7218
2022-01-24,"Microsoft reports disappointing quarterly earnings, meeting analyst expectations",0.876
2022-01-25,Tesla stock rallies 7% on earnings report,0.7943
2022-01-26,"Federal Reserve raises rates, stability expected",2.4483
2022-01-27,Trading volume drops for Meta on earnings report,1.6291
2022-01-28,"Microsoft CEO resigns, stock price fall",0.4803
2022-01-29,"Federal Reserve maintains policy, stability expected",0.9206
2022-01-30,Market volatility surges as inflation concerns,1.9316
2022-01-31,"Nvidia reports disappointing quarterly earnings, meeting analyst expectations",19.639
2022-02-01,Healthcare stocks climbs amid supply chain issues,1.7653
2022-02-02,"Nvidia announces stock split, shares decline",12.1976
2022-02-03,Trading volume spikes for Google on earnings report,3.9445
2022-02-04,"Federal Reserve maintains policy, growth expected",5.6708
2022-02-05,"Inflation falls, markets fall",6.8078
2022-02-06,"Google reports strong quarterly earnings, meeting analyst expectations",6.916
2022-02-07,Healthcare stocks plunges amid geopolitical tensions,1.1634
2022-02-08,Market volatility spikes as supply chain issues,2.4279
2022-02-09,Trading volume doubles for Nvidia on merger news,4.0287
2022-02-10,Trading volume doubles for Microsoft on earnings report,1.9074
2022-02-11,"Google announces buyback program, shares rise",10.0476
2022-02-12,"Retail sales exceeds expectations, markets tumble",1.5829
2022-02-13,"GDP falls, markets decline",7.9948
2022-02-14,Financial stocks surges amid recession fears,0.6891
2022-02-15,Market volatility surges as inflation concerns,3.0839
2022-02-16,Trading volume drops for Apple on earnings report,12.4162
2022-02-17,"Tesla reports disappointing quarterly earnings, exceeding analyst expectations",5.1835
2022-02-18,"Amazon announces dividend increase, shares jump",3.6451
2022-02-19,"Microsoft CEO announces strategy shift, stock price tumble",2.5543
2022-02-20,Market volatility rises as inflation concerns,8.9631
2022-02-21,Trading volume doubles for Apple on regulatory approval,2.8578
2022-02-22,Trading volume doubles for Microsoft on merger news,1.1252
2022-02-23,Market volatility spikes as geopolitical tensions,6.6251
2022-02-24,"Nvidia reports surprising quarterly earnings, beating analyst expectations",1.3044
2022-02-25,Amazon stock falls 11% on earnings report,1.2683
2022-02-26,"Employment exceeds expectations, markets fall",1.8557
2022-02-27,"Federal Reserve maintains policy, uncertainty expected",3.7395
2022-02-28,Market volatility spikes as geopolitical tensions,5.0312
2022-03-01,"Inflation falls, markets decline",2.28
2022-03-02,Market volatility spikes as recession fears,37.6135
2022-03-03,Market volatility rises as geopolitical tensions,1.6872
2022-03-04,"Microsoft CEO resigns, stock price decline",2.6273
2022-03-05,"GDP disappoints, markets tumble",5.0369
2022-03-06,"Nvidia faces competition, analysts downgrade",2.9942
2022-03-07,Google stock plunges 8% on merger news,4.3385
2022-03-08,"Nvidia CEO resigns, stock price soar",8.3909
2022-03-09,"Microsoft faces lawsuit, analysts downgrade",2.1074
2022-03-10,"Federal Reserve maintains policy, uncertainty expected",0.9779
2022-03-11,"Nvidia announces buyback program, shares tumble",0.8144
2022-03-12,Healthcare stocks climbs amid supply chain issues,10.0833
2022-03-13,Trading volume drops for Google on regulatory approval,1.3775
2022-03-14,Trading volume drops for Google on regulatory approval,2.5482
2022-03-15,Consumer stocks drops amid geopolitical tensions,7.1979
2022-03-16,"Microsoft faces competition, analysts downgrade",6.706
2022-03-17,Market volatility surges as geopolitical tensions,5.397
2022-03-18,Energy stocks climbs amid supply chain issues,10.2615
2022-03-19,Amazon stock plunges 9% on product launch,13.6878
2022-03-20,"Inflation disappoints, markets tumble",4.2331
2022-03-21,Microsoft stock surges 14% on earnings report,2.9072
2022-03-22,"GDP exceeds expectations, markets decline",3.8835
2022-03-23,Financial stocks falls amid recession fears,3.0598
2022-03-24,Google stock rallies 14% on merger news,2.1273
2022-03-25,Trading volume spikes for Nvidia on product launch,1.8283
2022-03-26,Amazon stock plunges 10% on regulatory approval,8.4081
2022-03-27,Amazon stock drops 3% on regulatory approval,2.2498
2022-03-28,Energy stocks plunges amid supply chain issues,3.3602
2022-03-29,"Inflation rises, markets tumble",7.4764
2022-03-30,"Microsoft faces scandal, analysts revise outlook",1.9333
2022-03-31,"Tesla faces regulatory scrutiny, analysts maintain rating",1.7012
2022-04-01,"Employment exceeds expectations, markets soar",11.1473
2022-04-02,"Amazon CEO announces strategy shift, stock price tumble",1.9618
2022-04-03,"Federal Reserve raises rates, volatility expected",3.2052
2022-04-04,Market volatility rises as supply chain issues,4.289
2022-04-05,"Google reports weak quarterly earnings, exceeding analyst expectations",1.3912
2022-04-06,Tech stocks surges amid geopolitical tensions,3.4675
2022-04-07,"Meta CEO appointed, stock price soar",2.5029
2022-04-08,Trading volume spikes for Apple on earnings report,4.6937
2022-04-09,"GDP disappoints, markets tumble",5.3692
2022-04-10,Trading volume spikes for Tesla on product launch,3.4163
2022-04-11,"Meta reports weak quarterly earnings, exceeding analyst expectations",6.5388
2022-04-12,Market volatility surges as geopolitical tensions,2.1357
2022-04-13,"Federal Reserve signals dovish stance, volatility expected",12.8406
2022-04-14,"Nvidia faces lawsuit, analysts maintain rating",2.6211
2022-04-15,Trading volume drops for Amazon on merger news,9.7762
2022-04-16,Trading volume doubles for Nvidia on earnings report,1.5235
2022-04-17,"Apple reports surprising quarterly earnings, missing analyst expectations",5.8548
2022-04-18,"Nvidia CEO resigns, stock price rise",2.5381
2022-04-19,"Inflation rises, markets jump",1.699
2022-04-20,"Nvidia reports surprising quarterly earnings, beating analyst expectations",7.5797
2022-04-21,"Nvidia CEO announces strategy shift, stock price jump",0.6066
2022-04-22,Amazon stock drops 13% on product launch,4.2155
2022-04-23,"Retail sales falls, markets fall",1.661
2022-04-24,Trading volume doubles for Tesla on merger news,0.5759
2022-04-25,Energy stocks plunges amid recession fears,6.1045
2022-04-26,"Microsoft faces scandal, analysts upgrade",11.6828
2022-04-27,"Apple faces lawsuit, analysts upgrade",4.8028
2022-04-28,"Federal Reserve cuts rates, growth expected",3.4898
2022-04-29,Tesla stock climbs 1% on merger news,4.6802
2022-04-30,"Federal Reserve cuts rates, uncertainty expected",3.5584
2022-05-01,"Meta CEO resigns, stock price decline",6.7361
2022-05-02,"Tesla faces lawsuit, analysts revise outlook",0.3428
2022-05-03,"Inflation exceeds expectations, markets tumble",1.7361
2022-05-04,"Meta reports record quarterly earnings, beating analyst expectations",0.8713
2022-05-05,Google stock falls 9% on product launch,1.2525
2022-05-06,"Amazon announces restructuring, shares jump",18.433
2022-05-07,"Amazon announces stock split, shares tumble",14.2919
2022-05-08,"Federal Reserve raises rates, uncertainty expected",0.6613
2022-05-09,"Microsoft CEO resigns, stock price fall",0.6801
2022-05-10,Microsoft stock plunges 14% on product launch,39.5634
2022-05-11,Trading volume spikes for Nvidia on merger news,3.56
2022-05-12,Trading volume doubles for Nvidia on product launch,1.6725
2022-05-13,"Tesla reports surprising quarterly earnings, missing analyst expectations",1.0435
2022-05-14,"Federal Reserve maintains policy, volatility expected",1.184
2022-05-15,"Google reports disappointing quarterly earnings, exceeding analyst expectations",5.9253
2022-05-16,"Inflation disappoints, markets tumble",14.3415
2022-05-17,"Apple CEO appointed, stock price tumble",1.2793
2022-05-18,"Inflation disappoints, markets rise",1.1302
2022-05-19,Google stock plunges 13% on regulatory approval,0.7057
2022-05-20,"Meta faces scandal, analysts upgrade",0.338
2022-05-21,Microsoft stock surges 14% on product launch,8.2809
2022-05-22,Energy stocks surges amid supply chain issues,1.0901
2022-05-23,Google stock plunges 8% on regulatory approval,1.8349
2022-05-24,"Microsoft CEO appointed, stock price jump",0.4107
2022-05-25,Nvidia stock rallies 5% on earnings report,3.2375
2022-05-26,"Federal Reserve signals dovish stance, volatility expected",1.3
2022-05-27,"Microsoft reports weak quarterly earnings, beating analyst expectations",0.5432
2022-05-28,"Amazon reports surprising quarterly earnings, exceeding analyst expectations",1.2147
2022-05-29,"Tesla reports disappointing quarterly earnings, exceeding analyst expectations",3.5049
2022-05-30,Microsoft stock surges 1% on product launch,7.4297
2022-05-31,"Nvidia announces restructuring, shares jump",0.8995
2022-06-01,Trading volume spikes for Nvidia on merger news,2.682
2022-06-02,Market volatility surges as supply chain issues,2.1951
2022-06-03,Market volatility surges as geopolitical tensions,0.4908
2022-06-04,Trading volume spikes for Tesla on earnings report,0.9331
2022-06-05,"Retail sales rises, markets rise",1.3303
2022-06-06,"Amazon announces stock split, shares jump",1.6115
2022-06-07,Financial stocks rallies amid geopolitical tensions,4.6577
2022-06-08,Energy stocks drops amid recession fears,7.5642
2022-06-09,"Microsoft faces lawsuit, analysts downgrade",2.7212
2022-06-10,Energy stocks rallies amid geopolitical tensions,0.3379
2022-06-11,Healthcare stocks surges amid geopolitical tensions,11.2588
2022-06-12,"Tesla reports weak quarterly earnings, missing analyst expectations",0.4442
2022-06-13,Market volatility rises as inflation concerns,5.5109
2022-06-14,"Amazon CEO resigns, stock price tumble",0.6331
2022-06-15,"Microsoft faces lawsuit, analysts downgrade",0.9049
2022-06-16,Nvidia stock climbs 2% on regulatory approval,1.6206
2022-06-17,"Microsoft CEO resigns, stock price rise",5.7299
2022-06-18,"Tesla faces regulatory scrutiny, analysts maintain rating",0.3241
2022-06-19,Amazon stock plunges 8% on merger news,5.5749
2022-06-20,Trading volume doubles for Apple on earnings report,6.0121
2022-06-21,"Google faces competition, analysts downgrade",0.6257
2022-06-22,Apple stock falls 2% on product launch,9.5286
2022-06-23,Google stock climbs 10% on merger news,2.5616
2022-06-24,"Federal Reserve cuts rates, growth expected",0.3963
2022-06-25,"Microsoft faces competition, analysts downgrade",0.9239
2022-06-26,Nvidia stock plunges 10% on merger news,4.0078
2022-06-27,Market volatility spikes as geopolitical tensions,2.271
2022-06-28,Tech stocks climbs amid supply chain issues,5.4325
2022-06-29,"Meta announces restructuring, shares soar",0.3381
2022-06-30,"Apple announces stock split, shares decline",4.3673
2022-07-01,"Inflation rises, markets fall",1.2816
